Comments,Like,Dislike,User
중국기계 수입해보신분들은 알겁니다 쨍께 철판수준은 정말미개합니다,1,0,i_lo****
움직이는 폭탄,1,0,rich****
'중국'이라는 이미지가 워낙 좋아서 적어도 우리나라에선 전혀 안 팔릴듯... 유럽이나 다른 국가야 뭐... 귀 닫고 막사는 사람도 많던데 그런 사람들이 살 수도 있을 듯..,1,0,jihu****
우리도 현기 말고 믿을 만한 지동차 제조회사 하나 더키워라...,2,2,zzan****
중국소리도 싫다,0,0,ratm****
중국차에 언제부터 이미지가 있었지?,0,0,idna****
"아프리카, 남미에나 팔아라.",0,0,kalf****
중국이 없었으면 좋았을텐데,519,13,rnjs****
미친 전 세계를 이꼴로 만들었으면 죄책감을 가지고 연구에 매진하던지,187,8,dhk1****
중국 가본적도없고 가고싶지도 않았지만 내 평생에 중국 갈 일은 없을것 같다.,180,13,park****
진짜 대폭 줄였으면 좋겠다! 한 1억으로!!,58,6,wnst****
"코로나 생산국 짱고라는 마스크 벗는데, 그걸 수입한 문재인이는 방역 실패, 백신 확보 실패. 거기에 정치적으로 이용하여 고무줄 처럼 늘었다 줄었다.",97,60,aldu****
진짜 바퀴벌레들 역겹다,20,0,tydl****
너희는 전세계를 지옥으로 만들어 놓고도 일말의 죄책감도 없냐? 양심도 없는 중국놈들.,13,0,jhk1****
저기다가 전술핵하나만 꼽자,10,0,coun****
중국도 저렇게 백신접종에 올인했는데 문씨놈의 뭐했냐? K방역? ㅋ 개가 웃는다,15,6,wuxi****
중국만 아니었어도 우리가 이러고 살지 않았을텐데,9,0,ubf2****
지들이 만들었으니 해결책도 갖고 있으니 당당하게 저러는거 아니겠나. 세계에서 박멸해야할 세균덩어리들.,9,2,crit****
판다가 사람구경 하는꼴,7,0,serv****
지들때문에 전세계가 코로나 걸렸는데. 정작지들이 천하태평인 짜장 나라,7,0,qodu****
중국뉴스 왜자꾸 메인에 뜨냐.....,6,0,ttog****
"올치.잘한다. 더욱 더 코로나 퍼트려서 중국인구 감소시키고 중국 외 전세계는 중국인을 차단하고, 중국물품을 사용안하게 되면 개이득이다!!!",5,0,evec****
저것들이 인간으로 보임?,5,1,rkal****
뻔뻔한 짱게들 세계를 지옥으로 만들고,4,0,nigh****
확진자가없다고?중국은 입만열먼 거짓말이구나..,4,0,mu02****
바퀴벌레들,5,2,dald****
내가 저나라에서 태어나지않은것에 정말 감사한다,3,0,ghos****
제목에는 뜬소문인데 모든 정황이 빌 게이츠 귀책사유네. 중국 간첩 조심해야지.,14,1,amet****
애초에 빌게이츠 짱깨랑 손잡았잖아,8,2,hugo****
아니뗀 굴뚝에 연기는 안난다.,8,8,pipe****
중국,1,1,stu1****
게이츠도.. 짜장물이 들었구만~ 흐흐~~ 온데 짜장 없는 곳이 없구만~!! ㅋㅋㅋ,0,1,cami****
빌은 아무리봐도 동성애자처럼 보임. 자녀를 낳은 것도 종족번식이 이유인거 같고.,1,3,stto****
이제 미모의 중국인 통역사를 보여주세요.,1582,12,puri****
미모가 얼어 죽었다,387,6,khan****
미모가 아니라 이모 아니냐 기자가 시력이 나쁘네,379,3,rndd****
저게 사실이라면 빌게이츠 취향 특이하네?...추자현이가 한국에서는 평범한 연예인이지만 중국에서는 엄청미인이거든....사진속 아줌마가 중국에서는 미인일지는 몰라도 우리가봐도 그닥인데?,225,27,m520****
주모는 보인다,104,7,ziny****
진짜 저 얼굴이 미모면...빌게이츠눈은 중국산인듯,57,1,gksz****
한민관 ?,52,0,sdk2****
스파이 냄새가 난다!!!,32,1,here****
저여자 미모는 그렇다 치더라도.. 전세계 유력인사나 정치외교 인사들 옆에 짱깨 간첩으로 보이는 여자들이 곳곳에 있네,30,0,chiz****
"셸리 왕: ???? 중국 해외공작부대의 미인계 첩자,,,,?,,,,,한국에도 ~차이나타운, ~중국 국적 조선족 선거권, ~ 조선족 2세 한국국적 권에는 ????중국 해외공작부대의 미인계 첩자조직망 인민일보 인민망 한국지국장 겸 강원도 명예부지사 ""저어위보(1975년생.여)"" 조직이 있다,,,,,?",26,0,ra40****
차이나미인계에걸리면ㆍ나라가 망하는데 빌게이츠 정도쯤이야 ㆍ,21,0,wjdw****
빌게에츠가 친중 성향을 보이는 이유다. 저 걸레는 중공이 관리하는 스파이다.,20,0,kimg****
"드뎌 중공 여간첩 미인계에 넘어건 빌! 그의 모든 재산과 회사가 곧 중공 소유가 될듯, 마윈의 알리바바처럼!!!. 바보같은 빌! 그리고 기자야 니 눈엔 어쩐지 몰라도 미인이란 단어는 이리 생긴 여자에게 하는 말이 아니다!그리 허접하게 털다 니 마누라에게 줘 터진다! ㅋ",15,0,tjgp****
미모 라는 단어를 모르시는분이 쓰신거 같은데...,13,0,masa****
중국몽꾸면서 공산주의찬양하기 시작한 시기랑 비슷하네,13,2,ssun****
저 통역사와 중국 중앙선전부와의 연관성을 조사해야 함,10,0,serv****
나라를 세계를 지배하는건 남자지만 그 남자를 지배하는건 여자라는 말이 참 새삼스럽다 아이고 이 멍청하고 순진한 남자들아ㅉ,10,0,bull****
미모?!???? ! 김여정 닮은 해골바가지ㅋ,10,1,tobe****
헐 ~~~;;;빌게이츠가 뭐가 아숴워서 저런 중국여자를 사귀냐!!! 아무기사나 가져다가 올리지마라!!,9,0,team****
